Method,Implant,fsim,pieapp,content,srsim,vsi,mdsi
Canny,1 Utah,"(0.40385553042093914, 0.012680866161994963)","(0.4558484220256408, 0.24196867556325177)","(5.118235635757446, 0.5484732889315646)","(0.35923678874969484, 0.010333243094720043)","(0.1759463906288147, 0.007746784022216622)","(0.38463035027186077, 0.005136462756287066)"
Canny,4 Utah,"(0.42961520751317345, 0.015031584976475606)","(0.9385103978216648, 0.3309225698015861)","(4.542367569605509, 0.4023497442075298)","(0.3891478141148885, 0.0126030785002078)","(0.19857176939646404, 0.010138072975870686)","(0.36887521147727964, 0.004103462351517219)"
Canny,Neuralink,"(0.4151545484860738, 0.015498229447581396)","(1.4655852297941843, 0.36887233922082424)","(4.316100613276164, 0.437868425852443)","(0.35437613328297934, 0.01390207976840205)","(0.1953726808230082, 0.010125902826069046)","(0.36752371191978456, 0.004797148453958538)"
Canny,Uniform 1024,"(0.3808634082476298, 0.013994694849702012)","(2.799601557602485, 0.46375521006167325)","(3.468872801462809, 0.23016892429103708)","(0.3174911061922709, 0.01077630261836375)","(0.19020865758260092, 0.01012078698475688)","(0.37627841432889303, 0.005058816357746147)"
Canny,Utah RFs,"(0.4483848333358765, 0.014518964590754413)","(0.64757948021094, 0.3179605791752453)","(3.9223820845286053, 0.3918349930113483)","(0.3918561855951945, 0.010296128548716851)","(0.19886791308720905, 0.010369610400891623)","(0.3632535179456075, 0.00466929679833239)"
DoG,1 Utah,"(0.412008269627889, 0.013837156273138041)","(0.9032085758944353, 0.1440127240271571)","(5.523547426859538, 0.4889793734565951)","(0.3732135017712911, 0.008968513540510939)","(0.16756601333618165, 0.006245041770078337)","(0.42708008289337157, 0.005392512724519872)"
DoG,4 Utah,"(0.4208528399467468, 0.015669485177887653)","(2.4445161541302998, 0.24186069357966952)","(7.635568841298421, 0.46252597596232425)","(0.40140159130096437, 0.010668953768519902)","(0.20398966868718466, 0.008019025372111178)","(0.4112827221552531, 0.005462640901507998)"
DoG,Neuralink,"(0.4430256088574727, 0.015141943362596307)","(5.211032899220784, 0.20220147606873146)","(10.108134873708089, 0.404011873967583)","(0.43363386392593384, 0.011133161471892203)","(0.23717714150746663, 0.006065198586465669)","(0.5021516740322113, 0.006366485923070984)"
DoG,Uniform 1024,"(0.519305674235026, 0.005948983684677057)","(8.240210437774659, 0.19004746895280858)","(7.038033072153727, 0.2812022014289258)","(0.4537336230278015, 0.013560795239026107)","(0.2796081225077311, 0.006216539401393184)","(0.5996185382207234, 0.0069078680712010895)"
DoG,Utah RFs,"(0.42482367356618245, 0.016677911801261408)","(3.4772666494051614, 0.26864749976094104)","(6.635479243596395, 0.4331469677581357)","(0.40570231278737384, 0.009332448299816902)","(0.20622701247533162, 0.008786631371755817)","(0.3973836700121562, 0.003922218859154346)"
Grayscale,1 Utah,"(0.4128621975580851, 0.013281285494287299)","(0.7966142425934474, 0.17235888165926)","(5.646335713068644, 0.513789283996545)","(0.38244448900222777, 0.01047058492005321)","(0.17027887105941772, 0.005880606651353511)","(0.43110649585723876, 0.006895133916290377)"
Grayscale,4 Utah,"(0.4199151078859965, 0.01558738068738902)","(2.378617964188258, 0.2596263678309896)","(6.978645118077596, 0.46172744576110575)","(0.39875171581904095, 0.011163391627835027)","(0.20226155519485473, 0.009151236549312183)","(0.4047852079073588, 0.004753055234726874)"
Grayscale,Neuralink,"(0.4365780790646871, 0.01698731607880976)","(3.997791560490926, 0.22362421589760675)","(9.633039315541586, 0.48000400709067587)","(0.41341617902119954, 0.012149841596221178)","(0.22600414355595908, 0.007652434528675214)","(0.48438761830329896, 0.007181659923616027)"
Grayscale,Uniform 1024,"(0.49814627567927044, 0.010740195938767046)","(7.626159286499023, 0.26541277217073017)","(7.426939678192139, 0.32065597468465085)","(0.43180962403615314, 0.009257885201950545)","(0.2617121736208598, 0.005158571434698396)","(0.5827339847882589, 0.00723518250591278)"
Grayscale,Utah RFs,"(0.4230854074160258, 0.01720519664328374)","(3.266676648457845, 0.24861342470456144)","(5.961862023671468, 0.46677676075598207)","(0.3944035887718201, 0.009827743955957114)","(0.20308939615885416, 0.009597210202623337)","(0.38950870037078855, 0.004034433795720742)"
Random,1 Utah,"(0.4100281834602356, 0.01371424232269198)","(0.881439154346784, 0.1686553066026894)","(5.247359275817871, 0.5009637663125307)","(0.37501633167266846, 0.01019321624371885)","(0.16918908357620238, 0.006177394311079372)","(0.42731104493141175, 0.006047347451451468)"
Random,4 Utah,"(0.4205458919207255, 0.01559468334221475)","(2.426173702875773, 0.2031366171841071)","(7.189891401926676, 0.4190259314419088)","(0.40414387385050454, 0.01115200720072273)","(0.20390946467717488, 0.008140237287203016)","(0.40939394434293114, 0.005324322038457008)"
Random,Neuralink,"(0.4406628370285034, 0.015422242247749754)","(4.464514668782552, 0.24995425577821284)","(9.676676082611085, 0.4438483523256779)","(0.4241759220759074, 0.012094967080225952)","(0.23267688751220703, 0.005743169114383225)","(0.4933945079644521, 0.007364518905727447)"
Random,Uniform 1024,"(0.5198391278584799, 0.005550114416206173)","(8.102816486358643, 0.20927055793694505)","(6.471993732452392, 0.2953623454252236)","(0.44191211064656577, 0.009640768277525205)","(0.28005929390589396, 0.004915131935521155)","(0.6016206065813701, 0.006318998995416331)"
Random,Utah RFs,"(0.42395586570103966, 0.01690107512964277)","(3.423889493942261, 0.2722057157594671)","(6.276979398727417, 0.4140671194100723)","(0.4008566419283549, 0.009259925476512838)","(0.20557036399841308, 0.008941633562055993)","(0.39461505810419717, 0.0036856986839385103)"
