Method,Implant,fsim,pieapp,content,srsim,vsi,mdsi
Canny,1 Utah,"(0.5243295335769653, 0.004978577116255702)","(1.9744729507528245, 0.0731604781224134)","(6.586209480762482, 0.12195682727811052)","(0.45245519518852234, 0.004066317126979307)","(0.23060493052005768, 0.0028770945977548232)","(0.399462656378746, 0.0013300644388236792)"
Canny,4 Utah,"(0.5599039286375046, 0.0057110928803382555)","(2.745627154633403, 0.08948904427780453)","(6.359274183511734, 0.12945444354023336)","(0.5070866659283638, 0.00431758339991029)","(0.27828949987888335, 0.0035310855660621605)","(0.3613646212220192, 0.0013286577539532592)"
Canny,Neuralink,"(0.5361845436692237, 0.005623713997582105)","(3.8478255058825015, 0.09686422012570706)","(7.263804641962051, 0.11166870542461282)","(0.4524282255768776, 0.004061244465506369)","(0.26072357684373854, 0.0030653130257057267)","(0.373007822483778, 0.0013834746253949854)"
Canny,Uniform 1024,"(0.4900832346081734, 0.004981761445984522)","(6.081161185503006, 0.11320050781100321)","(5.411262068748474, 0.0724748877873001)","(0.3768046286702156, 0.0031152337081142793)","(0.24236194044351578, 0.0024021914208025214)","(0.403404304087162, 0.0015645081502531366)"
Canny,Utah RFs,"(0.5670716625452041, 0.0057511849121414625)","(3.078886055126786, 0.10275205401232697)","(5.329150030612945, 0.1314487378852796)","(0.5173232844471931, 0.0042985501775832866)","(0.2802033734321594, 0.0036200875473416405)","(0.35210984617471697, 0.0013675905480156293)"
DoG,1 Utah,"(0.5384260615706444, 0.004860633813986636)","(2.189007600955665, 0.06639108059434806)","(6.191746822595596, 0.13728166255290958)","(0.4649406909942627, 0.003634234152280572)","(0.23859478652477265, 0.0030446032912989757)","(0.4129127861559391, 0.0017910067494932905)"
DoG,4 Utah,"(0.5606172743439675, 0.005731277198888315)","(3.1472711513005196, 0.08003336135495856)","(7.842285268306732, 0.10991520240628815)","(0.506180194914341, 0.003996922321220391)","(0.27897409468889234, 0.0034672878962291567)","(0.38176414474844933, 0.0013698815865773942)"
DoG,Neuralink,"(0.5527745321393013, 0.005077425551335321)","(4.60600331902504, 0.0770072360579107)","(9.475934636592864, 0.11496649447285061)","(0.48008702844381335, 0.003096605449127626)","(0.2811742055416107, 0.002653999227823498)","(0.45664329662919045, 0.002362263083045384)"
DoG,Uniform 1024,"(0.559471161365509, 0.0021017635199008494)","(7.430021308660507, 0.07722151165610071)","(6.4154114758968355, 0.12870060270490916)","(0.43347756773233415, 0.002417244900077208)","(0.28516437649726867, 0.0017058394431471568)","(0.5471016979217529, 0.0028489367555095224)"
DoG,Utah RFs,"(0.5634953027963638, 0.0058520269602613945)","(4.313909413218498, 0.08377148479099158)","(6.449050679206848, 0.1163649191894717)","(0.5184361878037452, 0.004073352930753524)","(0.28218822807073596, 0.003530532628586109)","(0.3693229195475578, 0.0012703596983863938)"
Grayscale,1 Utah,"(0.5360319620370865, 0.0050086478721361495)","(2.1516141975903884, 0.07072524106853326)","(6.45753986120224, 0.13374366429801854)","(0.4636907643079758, 0.0036605318632406047)","(0.23688646107912065, 0.0030466727032581143)","(0.41019362285733224, 0.0016593139595493661)"
Grayscale,4 Utah,"(0.5601537775993347, 0.005745631495599465)","(3.0740930490940808, 0.08023823595067711)","(7.700524336099624, 0.11073209307690307)","(0.5060667282342911, 0.004055286346395774)","(0.2789338943362236, 0.0034481065159855787)","(0.3804130455851555, 0.0012805815499823817)"
Grayscale,Neuralink,"(0.552770399749279, 0.0049558994783007616)","(4.237962589263916, 0.08604445329776143)","(9.57690617799759, 0.1317206812509311)","(0.478828843832016, 0.0031662584506323087)","(0.2799976003170013, 0.002581504837804263)","(0.45505074664950373, 0.0025584059276298307)"
Grayscale,Uniform 1024,"(0.564036967754364, 0.00211345841735547)","(7.194342886209488, 0.08357192176304755)","(7.234766258001327, 0.14667279835717065)","(0.43767990946769714, 0.002414543345123484)","(0.29023085951805117, 0.0017020623492588263)","(0.5558538869023323, 0.003059374677971806)"
Grayscale,Utah RFs,"(0.5633411306142807, 0.005837616522515506)","(4.03127810433507, 0.09035492754505849)","(6.241330074071884, 0.12843259064610701)","(0.5177821695804596, 0.0040925889800354645)","(0.2818420085310936, 0.0035344859838697595)","(0.36602393090724944, 0.0013069297918387802)"
Random,1 Utah,"(0.5344819563627243, 0.004902021817516128)","(2.172226625084877, 0.0669096843317722)","(6.196965209245682, 0.13738908304239794)","(0.46158173561096194, 0.0036325819682498117)","(0.2381911337375641, 0.0030187917316384268)","(0.41141904711723326, 0.0016763393580568131)"
Random,4 Utah,"(0.5612759068608284, 0.005750833751146162)","(3.0889893020689487, 0.0782293220367354)","(7.549307945966721, 0.11480777411977042)","(0.5080552911758422, 0.003986063497984982)","(0.27930866211652755, 0.0034714439940031097)","(0.37977871611714364, 0.0013839148211497174)"
Random,Neuralink,"(0.5529981735348701, 0.005151909936605606)","(4.174051500558853, 0.07895313748373417)","(9.060537769794465, 0.1172094153836783)","(0.4853808328509331, 0.0032366366816209023)","(0.2805027383565903, 0.002676752930441859)","(0.45003331914544104, 0.002228103719795724)"
Random,Uniform 1024,"(0.5650146079063415, 0.0020347832070481734)","(7.104607782363892, 0.07763169178375584)","(6.319544603824616, 0.12468979174880963)","(0.43632627427577975, 0.002213697522262757)","(0.29078441351652146, 0.0014593359648197193)","(0.5517777417600155, 0.0027012193290290314)"
Random,Utah RFs,"(0.5641448274254799, 0.0058681445019338335)","(4.11376529365778, 0.08381261036305225)","(6.190333988666534, 0.12595335976143338)","(0.5192910143733025, 0.004136725550896052)","(0.2822850108146667, 0.003547749390467543)","(0.36689732372760775, 0.0012895396770669283)"
